Genome_id	Length	Taxid	Species
GCA_000488255.1	3211639	1341679	Acinetobacter indicus CIP 110367
GCA_000488275.1	3148512	1341683	Acinetobacter brisouii CIP 110357
GCA_000488855.1	1544525	1321814	Eubacterium brachy ATCC 33089
GCA_000492175.1	3704572	1378168	Firmicutes bacterium ASF500
GCA_000493735.1	2497115	147709	Carnobacterium inhibens
GCA_000493885.1	1079683	1405296	Chlamydia suis MD56
GCA_000494755.1	9376071	196914	Actinoplanes friuliensis
GCA_000495255.1	611462	321961	Wheat blue dwarf phytoplasma
GCA_000495435.3	3988233	994573	Youngiibacter fragilis 232.1
GCA_000495505.1	1775480	196	Campylobacter fetus
GCA_000495815.1	4700027	1282362	Asticcacaulis sp. AC466
GCA_000495855.1	4157429	1282363	Asticcacaulis sp. YBE204
GCA_000495935.2	4369828	1117645	Elizabethkingia anophelis
GCA_000496075.1	4300776	631454	Lutibaculum baratangense AMV1
GCA_000496475.1	2859706	1408164	Betaproteobacteria bacterium MOLA814
GCA_000496595.1	1195201	309868	Candidatus Liberibacter americanus
GCA_000496735.2	4136943	1116472	Methyloglobulus morosus KoM1
GCA_000496755.2	5273532	1410619	Serratia sp. DD3
GCA_000496835.1	3935133	1401258	Thalassobacillus devorans MSP14
GCA_000496855.1	3985996	1401260	Sediminibacillus halophilus NSP9.3
GCA_000497205.1	3977051	1283279	Saccharopolyspora rectivirgula DSM 43747
GCA_000497245.1	3590176	1395513	Sporolactobacillus laevolacticus DSM 442
GCA_000497405.1	5961647	1380770	Streptomycetaceae bacterium MP113-05
GCA_000497425.1	8726876	1352941	Streptomyces niveus NCIMB 11891
GCA_000497445.1	9782257	1352936	Streptomyces roseochromogenus subsp. oscitans DS 12.976
GCA_000497755.1	4143240	1381123	Aliihoeflea sp. 2WW
GCA_000498295.1	1829043	1408226	Vagococcus lutrae LBD1
GCA_000498355.1	3113901	1391647	Clostridium sp. Ade.TY
GCA_000498475.1	3113956	1341154	Flavobacterium cauense R2A-7
GCA_000498495.1	3387090	1107311	Flavobacterium enshiense DK69
GCA_000498575.2	5454863	1395571	Pseudomonas taeanensis MS-3
GCA_000498955.2	3279100	1413187	Lactobacillus fabifermentans DSM 21115
GCA_000499525.1	3735762	1301100	[Clostridium] dakarense
GCA_000499785.1	5025334	1347393	Bacteroides neonati
GCA_000500045.1	1784977	1417230	Borrelia persica No12
GCA_000500065.1	1783846	1417229	Borrelia hispanica CRI
GCA_000500935.1	1160554	2137	Spiroplasma apis
GCA_000503775.1	5545940	1408254	Brevibacillus panacihumi W25
GCA_000503895.1	3653837	1427356	Hyphomicrobium nitrativorans
GCA_000504125.1	3351060	53346	Enterococcus mundtii
GCA_000504145.1	5443019	1208599	Bacillus cihuensis
GCA_000504165.1	5569389	1208600	Bacillus sp. FJAT-14578
GCA_000504185.2	5232338	1169855	Rhodobacteraceae bacterium PD-2
GCA_000504225.1	1395997	1096769	Candidatus Pelagibacter ubique HIMB083
GCA_000504245.1	5551297	592678	Amycolatopsis halophila YIM 93223
GCA_000504285.1	9918887	479430	Actinospica robiniae DSM 44927
GCA_000504425.1	4068467	1421013	Rhodopseudomonas palustris JSC-3b
GCA_000505545.1	3548922	1334046	Kurthia huakuii LAM0618
GCA_000506865.1	2504912	1414851	Pelistega indica
GCA_000507245.1	3782798	1307761	Salinispira pacifica
GCA_000507845.1	2369528	1357400	Helicobacter macacae MIT 99-5501
GCA_000507865.1	1932823	1357399	Helicobacter canis NCTC 12740
GCA_000508165.1	3833369	1208321	Marinomonas profundimaris
GCA_000508185.1	4776810	1207055	Sphingobium sp. C100
GCA_000508225.1	1196717	35795	Ehrlichia muris
GCA_000508245.1	702511	171632	Mycoplasma ovis
GCA_000508325.2	5283728	1131730	Bacillus vireti LMG 21834
GCA_000509225.1	3824226	1282876	alpha proteobacterium Mf 1.05b.01
GCA_000509365.1	2155647	1325130	Helicobacter fennelliae MRY12-0050
GCA_000509405.1	3225035	1349785	Tenacibaculum maritimum NBRC 15946
GCA_000510265.1	1518636	1263979	Candidatus Endolissoclinum faulkneri
GCA_000510425.1	1829558	1161902	Eubacterium nodatum ATCC 33099
GCA_000510645.1	3657623	1089548	Thermicanus aegyptius DSM 12793
GCA_000510805.1	2459805	1111732	Ignatzschineria larvae DSM 13226
GCA_000511135.2	8538433	316330	Microbispora sp. ATCC PTA-5024
GCA_000511175.1	3246830	1400522	Sediminibacterium salmoneum NBRC 103935
GCA_000511305.1	5590512	103816	Rhodococcus pyridinivorans
GCA_000511355.1	4650996	133924	Leisingera methylohalidivorans
GCA_000511385.1	4540155	60890	Phaeobacter gallaeciensis
GCA_000511405.1	4056006	1464	Paenibacillus larvae
GCA_000511655.1	3066842	494416	Psychrobacter sp. TB15
GCA_000511775.1	3379354	1235813	Bacteroides pyogenes JCM 10003
GCA_000511875.1	2605026	1411685	Gammaproteobacteria bacterium MOLA455
GCA_000511935.2	3787699	1286632	Zhouia amylolytica AD3
GCA_000511955.1	3216692	865861	[Clostridium ultunense] DSM 10521
GCA_000512205.2	6580298	397260	Sphingomonas sanxanigenens
GCA_000512235.1	3759482	909663	Syntrophorhabdus aromaticivorans UI
GCA_000512355.1	2773209	29423	Legionella oakridgensis
GCA_000512735.1	1521037	75906	Thermocrinis ruber
GCA_000512895.1	2943336	55583	Dehalobacter restrictus
GCA_000512915.1	3076856	397865	Barnesiella viscericola
GCA_000513095.1	4530938	1236970	Bacillus wakoensis JCM 9140
GCA_000513115.1	4538064	1236971	Bacillus hemicellulosilyticus JCM 9152
GCA_000513135.1	4740369	1236973	Bacillus akibai JCM 9157
GCA_000513215.1	5113802	615	Serratia marcescens
GCA_000513275.1	6257966	1243662	Paenibacillus gorillae
GCA_000513295.1	4365796	55518	Magnetospirillum gryphiswaldense
GCA_000513475.1	1118422	673862	Candidatus Babela massiliensis
GCA_000513775.1	3250767	1306407	Treponema phagedenis 4A
GCA_000513955.1	3346704	935568	Pseudoxanthomonas suwonensis J47
GCA_000513975.1	4294957	935849	Paracoccus sp. J55
GCA_000515115.1	4681465	1137268	Nocardiopsis sp. CNT312
GCA_000515255.1	4176524	1089552	Rhodovibrio salinarum DSM 9154
GCA_000515275.1	3033021	1112274	Methylophilus sp. 5
GCA_000515315.1	3715967	925409	Asinibacterium sp. OR53
GCA_000515335.1	4772825	979226	Cohnella panacarvi Gsoil 349
GCA_000515395.1	5585780	987045	Jiangella gansuensis DSM 44835
GCA_000516515.1	4890986	867845	Chloroflexus sp. Y-396-1
GCA_000516535.1	2281162	714315	Leptotrichia goodfellowii DSM 19756
GCA_000516555.1	5085524	1429916	Afipia sp. P52-10
GCA_000517025.1	2884521	926692	Halonatronum saccharophilum DSM 13868
GCA_000517065.1	4122270	927658	Alkaliflexus imshenetskii DSM 15055
GCA_000517085.1	5982061	869213	Saccharicrinis fermentans DSM 9555 = JCM 21142
GCA_000517105.1	8079181	1173024	Fischerella sp. PCC 9605
GCA_000517385.1	4364535	1294265	Bacillus boroniphilus JCM 21738
GCA_000517425.1	5159425	1239307	Sodalis praecaptivus
GCA_000517545.1	5365278	1445607	Bacteroides reticulotermitis JCM 10512
GCA_000517565.1	1819992	33002	Desulfurella acetivorans
GCA_000517605.1	6903379	384	Rhizobium leguminosarum
GCA_000518205.1	2067037	1408438	Facklamia sourekii ATCC 700629
GCA_000518225.1	1435066	1408442	Helicobacter pametensis ATCC 51478
GCA_000518245.1	3420763	1408430	Brachyspira alvinipulli ATCC 51933
GCA_000518265.1	9353665	1399798	Actinomadura oligospora ATCC 43269
GCA_000518285.1	1103092	1399797	Entomoplasma lucivorax ATCC 49196
GCA_000518305.1	922439	1399794	Mycoplasma imitans ATCC 51306
GCA_000518365.1	6646877	1380394	Rhodospirillales bacterium URHD0088
GCA_000518485.1	3343709	1353276	Olleya marilimosa CAM030
GCA_000518585.1	5163333	1336249	Rhizobium larrymoorei ATCC 51759
GCA_000518665.1	4029781	1336243	Microvirga flocculans ATCC BAA-817
GCA_000518685.1	2579248	1336241	Eubacterium xylanophilum ATCC 35991
GCA_000518705.1	4575622	1336240	Shewanella colwelliana ATCC 39565
GCA_000518745.1	2746431	1336237	Phaseolibacter flectens ATCC 12775
GCA_000518765.1	3587803	1336236	Ruminococcus flavefaciens ATCC 19208
GCA_000518785.1	4976687	1336235	Rhizobium selenitireducens ATCC BAA-1503
GCA_000518805.1	4971480	1336233	Shewanella waksmanii ATCC BAA-643
GCA_000518825.1	843889	1336232	Mesoplasma chauliocola ATCC 49578
GCA_000518865.1	5335054	935837	Bacillus sp. J37
GCA_000518985.1	4700340	935840	Chelativorans sp. J32
GCA_000519005.1	4754646	935866	Nocardioides sp. J54
GCA_000519045.1	3627226	1304883	Dechloromonas agitata is5
GCA_000519105.1	4717857	1121130	Butyricimonas virosa DSM 23226
GCA_000519125.1	3627185	1121406	Desulfocurvus vexinensis DSM 17965
GCA_000519205.1	8777509	1120984	Amycolatopsis taiwanensis DSM 45107
GCA_000519265.1	3761451	935942	Desulfonatronum lacustre DSM 10312
GCA_000519325.1	5521807	929712	Patulibacter minatonensis DSM 18081
GCA_000519345.1	4765806	926554	Deinococcus pimensis DSM 21231
GCA_000520015.2	5488183	1639108	Chania multitudinisentens
GCA_000520495.1	4266129	1312959	Arthrobacter sp. H14
GCA_000520515.1	3436756	1267981	Arthrobacter sp. H20
GCA_000520555.1	3544125	1312954	Arthrobacter sp. Br18
GCA_000520595.1	4325474	1267973	Arthrobacter sp. H5
GCA_000520615.1	4638882	1317118	Roseivivax atlanticus
GCA_000520955.1	5262767	1296415	Aquimarina pacifica
GCA_000520995.1	6056208	1443665	Aquimarina macrocephali JAMB N27
GCA_000521175.1	5851275	284502	Aphanizomenon flos-aquae NIES-81
GCA_000521465.1	3907117	1294263	[Clostridium] straminisolvens JCM 21531
GCA_000521485.1	3651580	1298598	Gracilibacillus boraciitolerans JCM 21714
GCA_000521505.1	4764126	302406	Advenella mimigardefordensis
GCA_000521565.1	651316	9	Buchnera aphidicola
GCA_000521785.1	4492810	1449350	Roseivivax halodurans JCM 10272
GCA_000521805.1	3342098	1122207	Marinomonas ushuaiensis DSM 15871
GCA_000521865.1	4898228	1449351	Roseivivax isoporae LMG 25204
GCA_000522465.1	2201349	1442598	Arcobacter cibarius LMG 21996
GCA_000523235.1	8348532	37330	Nocardia nova
GCA_000523275.1	1641000	990068	Lebetimonas sp. JH292
GCA_000524475.1	4709534	1448389	Tomitella biformata AHU 1821
GCA_000524555.1	760240	45362	Mycoplasma bovoculi
GCA_000525635.1	9874926	43357	Kutzneria albida
GCA_000525655.1	2719616	108486	Corynebacterium falsenii
GCA_000525675.1	3006992	959	Bdellovibrio bacteriovorus
GCA_000525775.1	1806210	1401079	Mogibacterium timidum ATCC 33093
GCA_000525795.1	2601148	1265818	Listeria aquatica FSL S10-1188
GCA_000525875.1	2794388	1265817	Listeria floridensis FSL S10-1187
GCA_000525915.1	2372850	1265861	Brochothrix campestris FSL F6-1037
GCA_000525955.1	3374439	1265845	Listeria weihenstephanensis FSL R9-0317
GCA_000525975.1	3216749	1265846	Listeria rocourtiae FSL F6-920
GCA_000526155.1	4236551	1125863	Deferrisoma camini S3R1
GCA_000526175.1	5472264	1131814	Xanthobacter sp. 126
GCA_000526195.1	1742311	944481	Hippea sp. KM1
GCA_000526215.1	8787999	1056816	Nocardia sp. BMG51109
GCA_000526235.1	1453539	1278304	Acholeplasma granularum ATCC 19168
GCA_000526255.1	2465519	478741	Verrucomicrobia bacterium LP2A
GCA_000526275.1	4310573	1305735	Oceanicola sp. HL-35
GCA_000526315.1	4382767	1120792	Methylopila sp. 73B
GCA_000526375.1	3223212	1304874	Aminiphilus circumscriptus DSM 16581
GCA_000526395.1	2105968	1304875	Aminobacterium mobile DSM 12262
GCA_000526415.1	4475263	1128421	bacterium JKG1
GCA_000526435.1	2725044	1304880	Caldicoprobacter oshimai DSM 21659
GCA_000526455.1	4844648	1304872	Desulfovibrio cf. magneticus IFRC170
GCA_000526495.1	4469680	1291050	[Clostridium] josui JCM 17888
GCA_000526515.1	4495232	1304865	Cellulomonas sp. KRMCY2
GCA_000526595.1	4252182	935839	Cellulosimicrobium cellulans J36
GCA_000526635.1	4234633	935261	Aminobacter sp. J41
GCA_000526655.1	3921738	935938	Bacillus ginsengihumi J57
GCA_000526675.1	1666387	1336234	Atopobacter phocae ATCC BAA-285
GCA_000526695.1	2726123	1336245	Carnimonas nigrificans ATCC BAA-78
GCA_000526715.1	2452457	1168067	Thiomicrospira kuenenii DSM 12350
GCA_000526735.1	3724077	1384063	Ruminococcus gnavus AGR2154
GCA_000526835.1	864731	1399795	Entomoplasma somnilux ATCC 49194
GCA_000526855.1	1022566	1399796	Entomoplasma luminosum ATCC 49195
GCA_000526915.1	4936071	1408452	Mycobacterium genavense ATCC 51234
GCA_000526955.1	847750	1415781	Mycoplasma cricetuli ATCC 35279
GCA_000527075.1	4941689	1137271	Saccharomonospora sp. CNQ490
GCA_000527095.1	4384919	1114263	Methylosarcina lacus LW14
GCA_000527135.1	4306529	1119528	Methyloversatilis discipulorum
GCA_000527155.1	3535419	1089549	Haloglycomyces albus DSM 45210
GCA_000527695.1	2332652	1208583	Commensalibacter sp. MX01
GCA_000531125.1	4611646	1400861	Candidatus Contendobacter odensis Run_B_J11
GCA_000550765.1	3905082	28448	Komagataeibacter xylinus
GCA_000550785.1	3132213	160386	Corynebacterium casei
GCA_000550805.1	2931780	38305	Corynebacterium vitaeruminis
GCA_000559025.1	4295921	1442599	Luteimonas huabeiensis HB2
GCA_000559085.2	6297623	1440774	Mycobacterium aromaticivorans JS19b1 = JCM 16368
GCA_000564855.1	7529476	909613	Actinokineospora spheciospongiae
GCA_000565015.1	2040170	887901	Porphyromonas catoniae ATCC 51270
GCA_000565175.1	1175131	216935	Spiroplasma culicicola
GCA_000565195.1	1132608	2144	Spiroplasma mirum
GCA_000565215.1	1075953	216944	Spiroplasma sabaudiense
GCA_000565345.1	3379634	1269942	Salinivibrio costicola subsp. costicola ATCC 33508 = LMG 11651
GCA_000566685.1	5313422	1434325	Dyadobacter tibetensis Y620-1
GCA_000568255.1	11646492	345341	Kutzneria sp. 744
GCA_000568555.1	5542402	1320556	Mesorhizobium sp. NBIMC_P2-C3
GCA_000568735.2	1053291	141	Borrelia parkeri
GCA_000568755.1	1730484	144	Borrelia coriaceae
GCA_000568815.1	3175729	66821	Sulfurospirillum multivorans
GCA_000576305.1	4961801	1236976	Paenibacillus pini JCM 16418
GCA_000576405.1	2733013	1444770	Xylella taiwanensis
GCA_000576425.1	4188165	396014	Brachybacterium phenoliresistens
GCA_000576555.1	5252070	1446467	Hymenobacter swuensis
GCA_000576575.1	4804251	584657	Intrasporangium chromatireducens Q5-1
GCA_000576595.1	4636528	1386089	Intrasporangium oryzae NRRL B-24470
GCA_000576635.1	7868338	1385369	Skermanella stibiiresistens SB22
GCA_000577555.1	2472125	1414719	Corynebacterium jeddahense
GCA_000577895.1	3617025	1216932	Clostridium bornimense
GCA_000582685.1	8133444	1469607	[Scytonema hofmanni] UTEX 2349
GCA_000582705.1	3252254	1177594	Microbacterium sp. C448
GCA_000582785.1	3874680	1211815	Candidatus Blastococcus massiliensis AP3
GCA_000583135.1	3460162	1469245	Thioalkalivibrio sp. HK1
GCA_000583655.1	2844682	1423743	Lactobacillus farraginis DSM 18382 = JCM 14108
GCA_000583695.1	3449704	1423734	Lactobacillus composti DSM 18527 = JCM 14202
GCA_000583775.1	1872235	195	Campylobacter coli
GCA_000583875.1	1048269	1457141	Chlamydia avium
GCA_000585155.1	2496885	1564138	Arcobacter faecis
GCA_000585195.1	2260089	1355374	Arcobacter lanthieri
GCA_000585215.1	4766665	1249627	Imhoffiella purpurea
GCA_000585235.1	4027646	1229521	Nitrincola nitratireducens
GCA_000585255.1	2328046	1229520	Alkalibacterium sp. AK22
GCA_000585335.1	3488464	866499	Cloacibacillus evryensis DSM 19522
GCA_000585355.1	3287991	915438	Prevotella oryzae DSM 17970
GCA_000585375.1	9195993	927661	Cryptosporangium arvum DSM 44712
GCA_000585395.1	6075237	915437	Saccharibacillus sacchari DSM 19268
GCA_000585415.1	2548011	1123268	Sphingomonas jaspsi DSM 18422
GCA_000585625.1	4774593	69279	Aquamicrobium defluvii
GCA_000586015.1	1658709	1451353	Candidatus Synechococcus spongiarum SH4
GCA_000586555.1	3633869	1382305	Sporosarcina sp. D27
GCA_000590475.1	4731359	316	Pseudomonas stutzeri
GCA_000590555.1	2031902	42817	Corynebacterium argentoratense
GCA_000590885.1	4640069	69222	Erwinia mallotivora
GCA_000590925.1	3555109	159346	Roseibacterium elongatum
GCA_000591415.1	4049952	553385	Cobetia crustatorum
GCA_000597725.1	2656384	1123326	Sulfurospirillum arcachonense DSM 9755
GCA_000597805.1	1673184	1448857	Campylobacter corcagiensis
GCA_000597865.1	3055036	1731	Peptoclostridium acidaminophilum
GCA_000598065.1	3004450	1380763	Paenibacillus darwinianus
GCA_000599865.1	3807137	1476583	Deinococcus phoenicis
GCA_000599885.1	4091152	1267600	Pantoea sp. IMH
GCA_000599985.1	3139412	1196095	Gilliamella apicola
GCA_000600005.1	2527978	1196083	Snodgrassella alvi
GCA_000600335.2	4921837	442562	Rubellimicrobium mesophilum DSM 19309
GCA_000600975.2	3188840	1122180	Loktanella hongkongensis DSM 17492
GCA_000601455.1	2892465	1403537	Fervidicella metallireducens AeB
GCA_000601485.1	11577721	1192034	Chondromyces apiculatus DSM 436
GCA_000603945.1	3987077	948458	Actinotalea ferrariae CF5-4
GCA_000611675.1	3652806	1450525	Flavobacterium succinicans LMG 10402
GCA_000612055.1	2338390	1661	Trueperella pyogenes
GCA_000612125.1	5513716	1444307	Brevibacillus agri 5-2
GCA_000612225.1	7650246	1444314	Paenibacillus ehimensis A2
GCA_000612445.1	2454642	1423806	Lactobacillus sucicola DSM 21376 = JCM 15457
GCA_000612485.1	3699674	35814	Bordetella holmesii
GCA_000612605.1	4548084	472695	Pantoea septica
GCA_000612625.1	4762944	1461580	Bacillus jeddahensis
GCA_000612665.1	4566707	1347369	Bacillus dielmoensis
GCA_000612685.1	3952818	75697	Castellaniella defragrans
GCA_000612805.1	4068163	1347368	Bacillus ndiopicus
GCA_000612825.1	7966608	1209984	Mycobacterium mageritense DSM 44476 = CIP 104973
GCA_000612845.1	4433668	1211817	Clostridium ihumii AP5
GCA_000612865.1	3675175	171693	Oceanobacillus picturae
GCA_000613185.1	6462090	258533	Mycobacterium cosmeticum
GCA_000613245.1	5938932	1265310	Mycobacterium asiaticum DSM 44297
GCA_000613285.1	3041080	1234671	Acetobacter papayae JCM 25143
GCA_000613345.1	2797134	1235811	Prevotella disiens JCM 6334 = ATCC 29426
GCA_000613505.1	3077999	1122989	Prevotella oris DSM 18711 = JCM 12252
GCA_000613785.1	2827758	1236497	Prevotella oulorum JCM 14966
GCA_000613805.1	3430348	1236498	Bacteroides paurosaccharolyticus JCM 15092
GCA_000613845.1	3147416	1236500	Asaia astilbis JCM 15831
GCA_000613925.1	2949807	1236504	Prevotella histicola JCM 15637 = DNF00424
GCA_000614025.1	3002170	1236508	Prevotella aurantiaca JCM 15754
GCA_000614065.1	2546609	1236509	Prevotella dentasini JCM 15908
GCA_000614105.1	2426740	1122987	Prevotella micans DSM 21469 = JCM 16134
GCA_000614145.1	4782583	1236513	Bacteroides faecichinchillae JCM 17102
GCA_000614205.1	2975513	1236516	Prevotella saccharolytica JCM 17484
GCA_000614355.1	2356153	1236520	Porphyromonas cangingivalis JCM 15983
GCA_000614585.1	2054250	1236526	Porphyromonas gingivicanis JCM 15907
GCA_000614975.1	4424648	1236542	Shewanella marina JCM 15074
GCA_000615445.1	1826493	1423754	Lactobacillus hamsteri DSM 5661 = JCM 6256
GCA_000615765.1	2242681	1423740	Lactobacillus equi DSM 15833 = JCM 10991
GCA_000615805.1	2107444	1423747	Lactobacillus fuchuensis DSM 14340 = JCM 11249
GCA_000615845.1	1667319	1423755	Lactobacillus hayakitensis DSM 18933 = JCM 14209
GCA_000615905.1	2678542	1423775	Lactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160
GCA_000615945.1	4534596	1236954	Bacillus mannanilyticus JCM 10596
GCA_000615975.1	4516452	1231185	Nitratireductor aquibiodomus NL21 = JCM 21793
GCA_000616095.1	3629390	1236958	Sneathiella glossodoripedis JCM 23214
GCA_000617865.1	3690031	1231351	Acidomonas methanolica NBRC 104435
GCA_000617925.1	3248999	1236959	Methylobacillus glycogenes JCM 2850
GCA_000619805.1	1610181	1123325	Sulfurihydrogenibium subterraneum DSM 15120
GCA_000619845.1	3299408	1120977	Alkanindiges illinoisensis DSM 15370
GCA_000619885.1	3653918	1121103	Balneatrix alpica DSM 16621
GCA_000619905.2	3210113	35799	Nitrosospira briensis
GCA_000619925.1	2869490	1410609	Treponema sp. C6A8
GCA_000619945.1	4753597	1410653	Clostridium lundense DSM 17049
GCA_000619965.1	2731626	1410634	Propionibacteriaceae bacterium P6A17
GCA_000620005.1	835846	1408470	Mycoplasma spumans ATCC 19526
GCA_000620025.1	2972948	1123510	Zymobacter palmae DSM 10491
GCA_000620045.1	3464094	1121941	Halomonas halodenitrificans DSM 735
GCA_000620065.1	3034817	1122221	Meiothermus cerbereus DSM 11376
GCA_000620085.1	5177835	1122200	Marinobacterium jannaschii DSM 6295
GCA_000620105.1	4039307	1122240	Microvirgula aerodenitrificans DSM 15089
GCA_000620125.1	3250627	1121289	Clostridiisalibacter paucivorans DSM 22131
GCA_000620145.1	3711979	1121375	Deefgea rivuli DSM 18356
GCA_000620165.1	3363999	1382358	Anoxybacillus tepidamans PS2
GCA_000620185.1	5093035	1380353	Geodermatophilaceae bacterium URHB0062
GCA_000620225.1	6632341	1380385	Variovorax sp. URHB0020
GCA_000620305.1	4361351	1304884	Desulfitibacter alkalitolerans DSM 16504
GCA_000620485.1	5018507	1380365	Dyella japonica UNC79MFTsu3.2
GCA_000620625.1	7485871	1380386	Mycobacterium sp. URHB0044
GCA_000620645.1	4560838	1380388	Nocardioides sp. URHA0032
GCA_000620665.1	2785891	1380389	Sphingomonas sp. URHD0057
GCA_000620685.1	6067264	1380391	Dongia sp. URHE0060
GCA_000620705.1	4684622	1380392	Nocardioides sp. URHA0020
GCA_000620725.1	6679185	1380348	Acidobacteriaceae bacterium URHE0068
GCA_000620765.1	3242094	1121433	Desulfovermiculus halophilus DSM 18834
GCA_000620785.1	9931328	1123023	Pseudonocardia acaciae DSM 45401
GCA_000620925.1	2146492	1121352	Conchiformibius steedae DSM 2580
GCA_000620945.1	2415478	1121344	[Clostridium] viride DSM 6836
GCA_000620965.1	1619052	1121269	Campylobacter upsaliensis DSM 5365
GCA_000620985.1	2503118	1121126	Brochothrix thermosphacta DSM 20171 = FSL F6-1036
GCA_000621005.1	1871412	1121267	Campylobacter cuniculorum DSM 23162 = LMG 24588
GCA_000621025.1	1922095	1121118	Brackiella oedipodis DSM 13743
GCA_000621085.1	834674	1122248	Mycoplasma gallinarum DSM 19816
GCA_000621125.1	4853010	1122191	Maribacter antarcticus DSM 21422
GCA_000621145.1	3961953	1121402	Desulfobulbus elongatus DSM 2908
GCA_000621165.1	5503346	1121867	Enterovibrio calviensis DSM 14347
GCA_000621185.1	4710926	1121863	Franconibacter pulveris DSM 19144
GCA_000621325.1	3718676	1123401	Thiothrix lacustris DSM 21227
GCA_000621405.1	2944241	1408322	Lachnospiraceae bacterium AC3007
GCA_000621425.1	3476318	1408319	Lachnospiraceae bacterium AB2028
GCA_000621445.1	5002403	1408424	Bacillus bogoriensis ATCC BAA-922
GCA_000621485.1	4024838	1408422	Alkaliphilus transvaalensis ATCC 700919
GCA_000621525.1	2656591	1408444	Legionella fairfieldensis ATCC 49588
GCA_000621545.1	2682728	1408423	Anaerovibrio lipolyticus LB2005
GCA_000621625.1	4622888	1408433	Crocinitomix catalasitica ATCC 23190
GCA_000621665.1	4133860	1370122	Rhizobium undicola ORS 992 = ATCC 700741
GCA_000621705.1	5151245	1408473	Prolixibacter bellariivorans ATCC BAA-1284
GCA_000621725.1	3492520	1408472	Prevotella brevis ATCC 19188
GCA_000621765.1	3248062	1410638	Ruminococcaceae bacterium AB4001
GCA_000621805.1	2404446	1410617	Ruminococcus sp. FC2018
GCA_000621905.1	3373099	1410626	Lachnospiraceae bacterium NC2004
GCA_000621985.1	3418360	1410632	Lachnospiraceae bacterium V9D3004
GCA_000622025.1	3554992	1410621	Lachnospiraceae bacterium AD3010
GCA_000622145.1	4428895	1446473	Paracoccus yeei ATCC BAA-599
GCA_000622165.1	842941	1448132	Mycoplasma molare ATCC 27746
GCA_000622185.1	2913095	1122164	Legionella lansingensis DSM 19556 = ATCC 49751
